dt,driver_id,团单号,stay_time_1st,arrive_station_time_1st,station_id_1,station_id_2,pair,driving_time,distance,运输任务号,lon_1,lat_1,lon_2,lat_2,club_order,club_total,sum_skus,sum_volume,sum_weight,sum_price,total_driving_time,total_distance
2021-05-13,jd_4adbbd056cbed,4298790173374003,2.33,2021-05-13 11:10:50,13485932,8205378,134859328205378,9.00333340962728,0.11800000000000001,TJ21051209996007,111.433406,30.521518,111.43411299999998,30.522071999999998,9,14,4,0.0369,3020.4,160.0,81.88999996185302,2.633
2021-05-13,jd_4adbbd056cbed,4298787170569172,2.17,2021-05-13 11:34:31,12166910,12806323,1216691012806323,8.496666590372719,0.314,TJ21051209996007,111.43537099999999,30.527946999999998,111.43598899999999,30.529834,11,14,40,0.0247,3014.63,298.54,81.88999996185302,2.633
2021-05-13,jd_4accb4fe71e08,4298783772801579,5.33,2021-05-13 07:40:09,18043725,12086386,1804372512086386,5.003333409627278,0.816,TJ21051209996167,104.415626,30.84740900000001,104.41721899999999,30.847501,4,35,2,0.0001,0.35,5.6,66.00333302815756,8.049
2021-05-13,jd_4accb4fe71e08,4298788991486846,3.0,2021-05-13 07:53:49,7441935,13310700,744193513310700,3.333333333333333,0.235,TJ21051209996167,104.418465,30.849344,104.4181,30.849909999999998,7,35,4,0.0017,0.89,14.19,66.00333302815756,8.049
2021-05-13,jd_4accb4fe71e08,4298789132291188,5.0,2021-05-13 08:08:29,18592119,17920609,1859211917920609,9.666666666666666,1.72,TJ21051209996167,104.417565,30.848669,104.42333199999999,30.857854,9,35,2,0.0125,13.8,13.89,66.00333302815756,8.049
2021-05-13,jd_4accb4fe71e08,4298791045450568,7.0,2021-05-13 08:30:29,17750193,12983195,1775019312983195,5.666666666666666,0.46799999999999997,TJ21051209996167,104.422368,30.855159999999998,104.422727405,30.852124809,12,35,16,0.0399,4.97,39.76,66.00333302815756,8.049
2021-05-13,jd_4accb4fe71e08,4299427209235001,3.0,2021-05-13 08:54:09,8315192,8150286,83151928150286,3.666666666666667,0.344,TJ21051209996167,104.43293,30.84484,104.43354000000001,30.844953999999998,15,35,6,0.0135,1.6,19.94,66.00333302815756,8.049
2021-05-13,jd_4accb4fe71e08,4300402386653097,2.23,2021-05-13 09:03:03,8208063,17714926,820806317714926,3.5366666475931803,0.175,TJ21051209996167,104.434855,30.845775,104.436027,30.846337,17,35,1,0.001,0.2,2.99,66.00333302815756,8.049
2021-05-13,jd_4accb4fe71e08,4300355157850345,2.67,2021-05-13 09:11:29,18967831,18631067,1896783118631067,2.9633332570393884,1.1059999999999999,TJ21051209996167,104.436752,30.844666999999998,104.439707,30.841348999999997,19,35,3,0.009000000000000001,1.6,10.37,66.00333302815756,8.049
2021-05-13,jd_4accb4fe71e08,4298783397694996,5.63,2021-05-13 09:17:07,18631067,22749196,1863106722749196,18.803333218892416,0.9540000000000001,TJ21051209996167,104.439707,30.841348999999997,104.43724,30.848119,20,35,16,0.0362,5.765,47.31,66.00333302815756,8.049
